,date,id_num,trip_num,admin1Name_1,rwi_pctl,rwi_ctwt_pctl,trips/person,trip_miles/person,miles/person,0_14_pct,15_64_pct,0_19_pct,20_39_pct,40_64_pct,65p_pct,M_pct,Population,health_fclt_count,admin1_infected,first_case,ban_travel,fed_lockdown_p1,fed_lockdown_p2,inter_state_travel_ban
0,2020-01-01,37,87,Bauchi,0.1351351351351351,0.081081081081081,2.351351351351352,6.258241982957606,54.28060233582071,0.480968243685403,0.4930077633721537,0.5878427846138807,0.2584429549542655,0.1276902674894105,0.0260239929424433,0.5108444763587695,6690134.0,1312,0.0,0,0,0,0,0
1,2020-01-01,1678,4411,Federal Capital Territory,0.7837837837837838,0.7567567567567568,2.628724672228844,14.122407086642893,54.86621016165383,0.3761808011877354,0.6090082893686061,0.4647575147158683,0.3850807498303427,0.1353508260101304,0.0148109094436585,0.5320270119615359,4834747.0,551,0.0,0,0,0,0,0
2,2020-01-01,609,829,Kano,0.5945945945945946,0.8378378378378378,1.361247947454844,4.49342265564499,23.78402091619157,0.4727684792901625,0.5011033541407554,0.5813043954179103,0.263252261034827,0.1293151769781804,0.0261281665690821,0.5280232410357527,13612130.0,1562,0.0,0,0,0,0,0
3,2020-01-01,26,49,Kebbi,0.2162162162162162,0.1351351351351351,1.8846153846153848,12.588556264829784,23.815559452326337,0.4855904279683244,0.4880145634361266,0.585059796376168,0.2588060589640911,0.1297391360641919,0.0263950085955489,0.5032996532071795,4510474.0,1079,0.0,0,0,0,0,0
4,2020-01-01,310,587,Kwara,0.2702702702702703,0.5405405405405406,1.8935483870967744,6.7987945768043305,27.99645167795528,0.4385627401251425,0.5300045253998054,0.5447054154148318,0.2752902219695285,0.1485716281405875,0.0314327344750521,0.5069599109955376,3378707.0,893,0.0,0,0,0,0,0
5,2020-01-01,64,142,Bayelsa,0.6756756756756757,0.6216216216216216,2.21875,12.860707373989449,115.59745303229812,0.3783532339759174,0.5884318304151591,0.4986653657890734,0.2953734256872361,0.172746272914767,0.0332149356089234,0.5125803164505587,2537774.0,385,0.0,0,0,0,0,0
6,2020-01-01,170,300,Akwa Ibom,0.8918918918918919,0.8918918918918919,1.7647058823529411,14.642400559748856,50.920274118692696,0.3714473458477974,0.5933145115115984,0.49228859514798,0.2923319785292857,0.18014128368213,0.0352381426406041,0.5077076983792477,5665764.0,866,0.0,0,0,0,0,0
7,2020-01-01,72,96,Sokoto,0.1081081081081081,0.2702702702702703,1.3333333333333333,3.771570695376467,10.815281497767463,0.476871893107996,0.4955998750778277,0.5763294364776721,0.2578859110466608,0.1382564206614907,0.0275282318141762,0.505624481563039,5027130.0,922,0.0,0,0,0,0,0
8,2020-01-01,1121,1894,Oyo,0.3243243243243243,0.6486486486486487,1.6895628902765387,5.650114394888043,26.6494647991668,0.3771123981268828,0.5836282165130016,0.4881978649411032,0.2949339042186691,0.177608845480112,0.0392593853601155,0.5019705838533485,8470586.0,1703,0.0,0,0,0,0,0
9,2020-01-01,14,23,Jigawa,0.054054054054054,0.054054054054054,1.6428571428571428,5.876322399330732,15.102616202981256,0.4759832686855246,0.4966159109599566,0.5760210948304831,0.2600501871887575,0.1365278976262405,0.0274008203545187,0.505479893884154,5921830.0,721,0.0,0,0,0,0,0
10,2020-01-01,586,1076,Edo,0.7297297297297297,0.7027027027027027,1.8361774744027304,7.484531744580495,37.49225977128553,0.3648963025856633,0.5925314188027963,0.4805518691939805,0.3048544639625592,0.1720213882319198,0.0425722786115404,0.5050509097282766,4393070.0,968,0.0,0,0,0,0,0
11,2020-01-01,304,538,Osun,0.7027027027027027,0.6756756756756757,1.769736842105263,8.819517224692225,26.107076263648672,0.3664183617258332,0.5944391290481575,0.4860156065557474,0.2938661017159756,0.1809757825022676,0.0391425092260092,0.5059847910635072,4828740.0,1612,0.0,0,0,0,0,0
12,2020-01-01,30,42,Ebonyi,0.6486486486486487,0.5675675675675675,1.4,16.919140239792952,42.574601498272806,0.407884931714409,0.5547080871017148,0.5271122675388593,0.2662117310894284,0.169269020187836,0.0374069811838761,0.4891615626926456,2983133.0,1099,0.0,0,0,0,0,0
13,2020-01-01,720,1388,Delta,0.8108108108108109,0.7297297297297297,1.9277777777777776,11.014107126052716,42.905229844858816,0.3720574714734357,0.5865213978831537,0.4899358686389854,0.2943202889085726,0.1743227118090315,0.0414211306434104,0.5024198117756394,5827726.0,908,0.0,0,0,0,0,0
14,2020-01-01,129,206,Plateau,0.4324324324324324,0.4324324324324324,1.5968992248062015,16.283729638807035,62.720388927932575,0.4414834442444224,0.5246600953608579,0.5527704940339703,0.2778685947237091,0.135504450847601,0.0338564603947196,0.4998115216363967,4350632.0,1365,0.0,0,0,0,0,0
15,2020-01-01,188,387,Ondo,0.5135135135135135,0.3783783783783784,2.0585106382978724,9.757674083765858,41.14125337975732,0.3789351627473649,0.5832181604477588,0.4957618731850775,0.291435224265627,0.1749562257444191,0.0378466768048762,0.5035690220992856,4673409.0,1024,0.0,0,0,0,0,0
16,2020-01-01,73,127,Kogi,0.4594594594594595,0.2972972972972973,1.7397260273972603,6.787886426800677,28.3936329011356,0.4503783966172144,0.5217364067083422,0.558655817449993,0.2727602401956365,0.1406987456799271,0.0278851966744432,0.506811428561977,4836724.0,1514,0.0,0,0,0,0,0
17,2020-01-01,2118,3816,Ogun,0.7567567567567568,0.8108108108108109,1.801699716713881,9.654547809011628,38.09194781564244,0.3764942420253995,0.5828607691591555,0.4768523698530335,0.3111878860038042,0.1713147553277172,0.040644988815445,0.4983858197437503,5854055.0,1705,0.0,0,0,0,0,0
